"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Smc4",8.49219455419787e-114,0.407324636049143,0.293,0.092,4.81923548756175e-109,"KO","Smc4"
"Rpl3",9.73033668146786e-114,0.290777600541268,0.362,0.132,5.52186876336619e-109,"KO","Rpl3"
"Anxa5",1.04251833096836e-113,0.339101387396128,0.277,0.082,5.91618727641235e-109,"KO","Anxa5"
"Erbb3",2.79855650902973e-113,0.393203474161971,0.224,0.053,1.58815283330928e-108,"KO","Erbb3"
"Ola1",4.63156995618187e-113,0.272958295748983,0.271,0.079,2.62836963443365e-108,"KO","Ola1"
"Ssrp1",5.77744780809159e-113,0.328763672925641,0.247,0.065,3.2786438566139e-108,"KO","Ssrp1"
"Gpi1",6.54365082252076e-113,0.406244887107879,0.368,0.14,3.71345640527231e-108,"KO","Gpi1"
"Eno1",7.00334695646252e-113,0.345377570165426,0.209,0.044,3.97432936432292e-108,"KO","Eno1"
"Golga4",8.49641875536582e-113,0.276949592062714,0.427,0.174,4.82163267948255e-108,"KO","Golga4"
"Nme2",2.62840028896809e-112,0.366811932781046,0.359,0.134,1.4915908799865e-107,"KO","Nme2"
"Cpe",3.22269602101668e-112,0.369296125236708,0.376,0.146,1.82884776496676e-107,"KO","Cpe"
"Lmnb1",7.97677996124318e-112,0.581308628856808,0.316,0.109,4.52674286020589e-107,"KO","Lmnb1"
"P4hb",9.68222979821269e-112,0.3717473229517,0.301,0.098,5.49456858818772e-107,"KO","P4hb"
"Anxa3",1.02371892404937e-111,0.364120912631846,0.3,0.098,5.80950252208779e-107,"KO","Anxa3"
"Galnt1",1.90511404465545e-111,0.308360847587079,0.331,0.116,1.08113316920152e-106,"KO","Galnt1"
"Resf1",2.24040016804505e-111,0.422292336129316,0.374,0.146,1.27140469136389e-106,"KO","Resf1"
"Lamc1",3.33863224944477e-111,0.254584894888948,0.407,0.164,1.89464041523741e-106,"KO","Lamc1"
"4732471J01Rik",3.72514949165644e-111,0.326818425888129,0.325,0.113,2.11398508502011e-106,"KO","4732471J01Rik"
"Cdk6",5.45836123474769e-111,0.368514091830336,0.444,0.194,3.09756541710696e-106,"KO","Cdk6"
"Serpinb6a",5.80314707449779e-111,0.299264531439119,0.3,0.098,3.29322793330675e-106,"KO","Serpinb6a"
"Tiam2",8.94472260162951e-111,0.347063629565771,0.398,0.163,5.07604062919873e-106,"KO","Tiam2"
"Lyar",1.02349373159267e-110,0.367964817156655,0.208,0.045,5.80822457741525e-106,"KO","Lyar"
"Klc1",1.1085305314495e-110,0.287042750254547,0.31,0.104,6.29079991292277e-106,"KO","Klc1"
"Tcp1",1.18557018959703e-110,0.287634299936711,0.235,0.06,6.7279922689442e-106,"KO","Tcp1"
"Incenp",2.39212178527145e-110,0.475045020617558,0.259,0.076,1.35750519192369e-105,"KO","Incenp"
"Pfkp",3.81584214783063e-110,0.350610185598725,0.322,0.111,2.16545226047241e-105,"KO","Pfkp"
"Sh3pxd2a",7.9673493481911e-110,0.335424014746842,0.466,0.209,4.52139108160497e-105,"KO","Sh3pxd2a"
"Mtdh",9.03662240205364e-110,0.309591774229267,0.408,0.169,5.12819284694142e-105,"KO","Mtdh"
"Lamb1",1.00440107561587e-109,0.309120325090644,0.267,0.078,5.69987566401251e-105,"KO","Lamb1"
"Hspa5",1.21270206928507e-109,0.420433346634203,0.625,0.327,6.88196297298583e-105,"KO","Hspa5"
"Hdgf",1.57959864504025e-109,0.303092656530674,0.431,0.183,8.96406435073892e-105,"KO","Hdgf"
"Rlf",2.85289829873076e-109,0.342245800498203,0.329,0.117,1.61899125554672e-104,"KO","Rlf"
"Cd44",3.83665330566686e-109,0.417520636724754,0.64,0.335,2.17726238443289e-104,"KO","Cd44"
"Prkg2",4.18697644468461e-109,0.317969064738275,0.233,0.059,2.37606726259407e-104,"KO","Prkg2"
"Prkcsh",9.75260526996494e-109,0.340673103147044,0.254,0.072,5.5345059646524e-104,"KO","Prkcsh"
"Frmd6",3.2747257416488e-108,0.272232954167666,0.338,0.124,1.85837411112828e-103,"KO","Frmd6"
"Baiap2",4.14892647470641e-108,0.342156184001771,0.313,0.107,2.35447428513114e-103,"KO","Baiap2"
"Supt16",4.37011875515682e-108,0.275156766439478,0.291,0.094,2.47999869236394e-103,"KO","Supt16"
"Eif5a",6.31430571204074e-108,0.292974170915636,0.318,0.11,3.583305348526e-103,"KO","Eif5a"
"Sfr1",1.49111874971263e-107,0.295953550004792,0.25,0.07,8.4619497927442e-103,"KO","Sfr1"
"Eif4b",1.83062044827716e-107,0.259526919896045,0.331,0.119,1.0388587981928e-102,"KO","Eif4b"
"Apcdd1",1.84204543601549e-107,0.377463416420788,0.215,0.05,1.04534236448443e-102,"KO","Apcdd1"
"Ccbe1",3.75660814408222e-107,0.349102689350276,0.414,0.175,2.13183755568522e-102,"KO","Ccbe1"
"Acin1",2.90770302583064e-106,0.260498755845904,0.523,0.246,1.65009239012863e-101,"KO","Acin1"
"Cadm1",9.40070113564527e-106,0.322892170040219,0.4,0.166,5.33480388746734e-101,"KO","Cadm1"
"Spp1",1.16317826431914e-105,0.501224588788914,0.262,0.079,6.60092033218469e-101,"KO","Spp1"
"Rpl18a",1.39495871509786e-105,0.349359640683362,0.454,0.204,7.91625121230886e-101,"KO","Rpl18a"
"Nars",1.57209166062725e-105,0.287057846689033,0.272,0.084,8.92146296489356e-101,"KO","Nars"
"Hsph1",2.77697781408573e-105,0.319931054871202,0.465,0.21,1.57590713971551e-100,"KO","Hsph1"
"Rbpj",2.9395518488231e-105,0.32621317074589,0.472,0.211,1.66816627868862e-100,"KO","Rbpj"
"Pabpc1",5.07895880111119e-105,0.461587650827694,0.68,0.395,2.88225833004259e-100,"KO","Pabpc1"
"Dnajc2",8.15693659828584e-105,0.303582054599321,0.262,0.079,4.62897995016123e-100,"KO","Dnajc2"
"Ddb1",1.2440270273806e-104,0.301712057200151,0.251,0.072,7.05972897768218e-100,"KO","Ddb1"
"Tpi1",4.09593460587071e-104,0.347158929084591,0.27,0.084,2.32440192948557e-99,"KO","Tpi1"
"Cd9",5.44453585995238e-104,0.583794538104171,0.359,0.142,3.08971965516438e-99,"KO","Cd9"
"Slc27a1",6.70396672516354e-104,0.337089887282982,0.197,0.042,3.80443407686306e-99,"KO","Slc27a1"
"Kcnq1ot1",7.63870075101587e-104,0.364088675205574,0.361,0.144,4.33488628919399e-99,"KO","Kcnq1ot1"
"Socs5",8.51472469312146e-104,0.358452574215728,0.204,0.047,4.8320211160995e-99,"KO","Socs5"
"Oaf",1.28930059643566e-103,0.332342987690106,0.209,0.049,7.31665195471272e-99,"KO","Oaf"
"Zfp608",2.13454165370324e-103,0.302917688064752,0.344,0.131,1.21133104306005e-98,"KO","Zfp608"
"Pgk1",2.26825632852956e-103,0.389186786490398,0.188,0.038,1.28721278387724e-98,"KO","Pgk1"
"Ehbp1l1",4.02131269429659e-103,0.307012947052548,0.291,0.096,2.28205474088637e-98,"KO","Ehbp1l1"
"Ero1a",1.12717858279712e-102,0.6490664132765,0.253,0.077,6.39662573951535e-98,"KO","Ero1a"
"Ank",1.23623184698528e-102,0.298534328692683,0.341,0.131,7.01549210845677e-98,"KO","Ank"
"Diaph1",1.74008248237264e-102,0.359672427610858,0.462,0.209,9.87479407921649e-98,"KO","Diaph1"
"Aldoa",1.88153962155078e-102,0.307746044358879,0.305,0.107,1.06775491983385e-97,"KO","Aldoa"
"Gm25939",2.65334122219204e-102,0.390738717140604,0.349,0.135,1.50574461018176e-97,"KO","Gm25939"
"Golgb1",3.87486432411968e-102,0.280166689012809,0.333,0.123,2.19894675529468e-97,"KO","Golgb1"
"Rpl14",3.89658475963649e-102,0.251926338181937,0.417,0.178,2.21127288524611e-97,"KO","Rpl14"
"Cacybp",6.56382214984269e-102,0.283060725176603,0.199,0.045,3.72490343181423e-97,"KO","Cacybp"
"Slc6a6",7.97424333179224e-102,0.316935679286269,0.373,0.151,4.52530334835878e-97,"KO","Slc6a6"
"Smc2",1.00014127948268e-101,0.405282455753035,0.22,0.058,5.67570174693629e-97,"KO","Smc2"
"Acap1",1.71515510050604e-101,0.342457513271715,0.194,0.043,9.7333336798617e-97,"KO","Acap1"
"Cep170",2.1647769321193e-101,0.262658831516631,0.262,0.08,1.22848926120838e-96,"KO","Cep170"
"Npnt",3.76523939443648e-101,0.294195097820013,0.221,0.058,2.13673570394876e-96,"KO","Npnt"
"Nes",7.1786273360974e-101,0.365012036917293,0.186,0.038,4.07379922696191e-96,"KO","Nes"
"Gars",9.67022466145305e-101,0.288955566569372,0.242,0.07,5.48775579312799e-96,"KO","Gars"
"Cct2",1.27959303483184e-100,0.280270301456369,0.219,0.057,7.26156251336722e-96,"KO","Cct2"
"Rrp1",2.14482885702986e-100,0.316248036154117,0.229,0.062,1.21716892807588e-95,"KO","Rrp1"
"C77080",2.73769010510162e-100,0.251868642610115,0.235,0.067,1.55361175774412e-95,"KO","C77080"
"Rpl7a",9.60852469501124e-100,0.273410481808114,0.262,0.082,5.45274167917193e-95,"KO","Rpl7a"
"Canx",1.11052776235705e-99,0.341200498495645,0.506,0.249,6.3021339986e-95,"KO","Canx"
