"","X","gene","cluster_id","p_val","p_adj.loc","p_adj.glb","filtered","mean_KO","mean_WT","FC_KO/WT","log2FC_KO/WT"
"46119",46119,"Pcdh7","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,102.935484269016,249.546358901204,0.412490427519194,-1.2775674551188
"46443",46443,"Cdk8","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,86436.8795276588,224632.138491095,0.384793022531304,-1.37784545599446
"46676",46676,"Ptms","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,305.301753393466,505.135999181694,0.60439516068553,-0.72643598581238
"47076",47076,"Bag3","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,150.74991851027,323.130048873642,0.466530175809243,-1.09995769530575
"47486",47486,"Sorbs2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,338.745389206469,697.768618851698,0.485469509597515,-1.0425474063156
"47564",47564,"Mt2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,254.730044724639,491.873260249043,0.517877399140716,-0.949317496177408
"48028",48028,"Rpsa","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,722.577791839073,1274.1269903083,0.56711599184021,-0.818284256124737
"48516",48516,"Slc16a2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,0.8892879127244,9.53981952167031,0.0932185258541134,-3.42323949131297
"48961",48961,"Lars2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,5547.08832314909,12127.9848325833,0.457379226616954,-1.12853725239374
"49775",49775,"Nme1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,93.826208577266,217.933470460103,0.430526840962884,-1.21582491041988
"50136",50136,"Nos1ap","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,65.0256661661892,182.491655874905,0.356321311538557,-1.48874932140349
"50152",50152,"Gdf15","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,17.7681563174686,66.9853790401343,0.265254247599656,-1.91455224123311
"50358",50358,"Rps21","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,231.388582073247,541.427898942626,0.427367305092948,-1.22645155325486
"51036",51036,"Lat2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,124.342412271563,317.859956424347,0.391186148989349,-1.35407280623869
"51265",51265,"Sox5","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,24.3170483600329,105.859602156888,0.229710369815996,-2.12211210911438
"51267",51267,"Hspb8","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,57.287951943284,125.88292195639,0.4550891499256,-1.13577890439565
"51559",51559,"Atf4","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,133.3858177321,285.298703297587,0.467530403014024,-1.09686790988416
"52469",52469,"Wdr89","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,283.626135990871,800.345753194498,0.354379510178952,-1.49663290357281
"53795",53795,"Atp5k","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,76.4139711660032,188.147792766731,0.406138015452259,-1.29995802173107
"55162",55162,"Trim12c","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,38.6723277968648,108.792391952077,0.355469046161792,-1.49220415780824
"55558",55558,"Tafa1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,64.622671618385,228.878206912719,0.282345237189963,-1.82446779981883
"55769",55769,"Gm10076","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,139.885033113213,358.630717193362,0.390053128209294,-1.35825745146675
"56126",56126,"Rps12","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,1066.59795295811,2269.39707358731,0.469991772427955,-1.08929259337641
"56639",56639,"mt-Rnr2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,21317.8311788412,25660.9287398104,0.83075057005901,-0.267512716995906
"57067",57067,"Cenpb","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,120.622504696989,315.561901460414,0.38224672921145,-1.38742393802492
"57261",57261,"Ank3","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,886.4482688878,1311.35536798887,0.675978678645501,-0.564950352370298
