"","X","gene","cluster_id","p_val","p_adj.loc","p_adj.glb","filtered","mean_KO","mean_WT","FC_KO/WT","log2FC_KO/WT"
"124318",124318,"Spp1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,97.0642405651563,42.5119433991906,2.28322284995807,1.19107167815172
"124332",124332,"Hnrnpdl","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,64.6916303091248,26.50296247574,2.44092072229063,1.28742543915205
"124335",124335,"Prkg2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,145.698375894008,60.0559856399223,2.42604253916623,1.27860484745188
"124395",124395,"Ran","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,131.31406402126,61.6094721709535,2.1313940761721,1.09179735951091
"124434",124434,"Anxa3","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,88.0808939516998,47.9841829367077,1.83562350260044,0.876270183680235
"124486",124486,"Actb","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,393.519692761915,327.980478648157,1.1998265701175,0.262825885405716
"124497",124497,"Ddx54","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,26.4923330259468,4.34205263749016,6.10133852298487,2.60912577851731
"124507",124507,"Rpl6","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,121.704977543518,28.3299461789118,4.2959833659731,2.10298840722589
"124513",124513,"Arpc1b","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,155.000160027278,85.8258071596384,1.80598546237933,0.852786279619621
"124514",124514,"Pdap1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,102.565761934597,32.6200665360313,3.14425360908768,1.65271758713123
"124523",124523,"Cdk8","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,86747.4632028098,76416.2342077061,1.13519678249287,0.18294240546234
"124538",124538,"Hsph1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,199.554608928131,138.31379338264,1.44276723273773,0.528838562987505
"124596",124596,"Cald1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,447.294959166135,251.775237093704,1.77656454355622,0.829090103516852
"124740",124740,"Slc6a6","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,198.171874644347,52.9440690616058,3.74304200936565,1.9042112401597
"124794",124794,"Ybx3","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,200.805550700682,57.39579739798,3.49861069632512,1.80678213936248
"124804",124804,"Emp1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,154.411940450248,49.9519789094422,3.09120767227622,1.62817058001262
"124930",124930,"Rpl28","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,190.176369966019,81.3304709936092,2.33831634862858,1.22547012393443
"125064",125064,"Aldoa","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,80.8890475432222,34.7827988434301,2.32554740368459,1.21757034788818
"125091",125091,"Eif3c","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,186.833735624271,84.4011731551387,2.21363908391238,1.14642002144431
"125095",125095,"Rps3","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,201.131690340246,132.9819576508,1.51247352568235,0.596909889692313
"125117",125117,"Rbbp6","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,121.700257069273,36.0917800798888,3.37196604877596,1.75359001032829
"125226",125226,"Mki67","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,181.598622338134,81.4787247841071,2.22878576977381,1.15625795184295
"125333",125333,"Atrx","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,222.810184966531,184.757498381865,1.20596017437959,0.270182264473679
"125335",125335,"Cox7b","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,115.358271281835,37.1855123682697,3.10223697173714,1.63330889426958
"125378",125378,"Rps4x","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,448.521917077913,306.322668511869,1.4642139259783,0.550126351027034
"125383",125383,"Flna","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,117.691840854265,49.8326494190401,2.36174159364075,1.23985112308941
"125486",125486,"Col4a1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,194.789057494038,122.231635987692,1.59360590995978,0.672294902828529
"125571",125571,"Slc25a4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,93.8679496649808,36.0766452803125,2.60190350116078,1.37956745668353
"125668",125668,"Tpm4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,151.766262996921,57.3321775910608,2.64713934432144,1.4044341397031
"125749",125749,"1700012B09Rik","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,78.8701999469191,35.6244493888767,2.21393456740823,1.14661258405685
"125760",125760,"Taf1d","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,109.207134939156,25.2962413174581,4.3171289192196,2.11007217557484
"125789",125789,"2810004N23Rik","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,71.6853889796078,13.6288092561248,5.25984241414139,2.39501957675286
"125840",125840,"Cryab","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,53.4798584573064,2.46725528041483,21.6758512513203,4.43801674678629
"125905",125905,"Ldlr","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,111.760137260607,74.539992903273,1.4993312033935,0.584319110913148
"125922",125922,"Anxa2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,269.162318629067,225.66224698999,1.19276627889381,0.254311376382252
"125960",125960,"Pkm","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,148.597981082426,77.2151366329047,1.92446698357718,0.944458920284594
"126011",126011,"Tpm1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,207.743674334698,90.2265497251025,2.30246723350988,1.20318062542012
