"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Iqgap2",6.40116220607074e-93,1.20672140650191,0.207,0.065,3.63259554032308e-88,"0","Iqgap2"
"Cers6",2.0953182688181e-91,1.35560624746142,0.505,0.371,1.18907216437158e-86,"0","Cers6"
"Pfkfb3",5.02676140987967e-91,1.22373462318942,0.227,0.079,2.85263683249261e-86,"0","Pfkfb3"
"Csf2ra",3.25298515624845e-90,1.10919906347509,0.171,0.046,1.84603654631943e-85,"0","Csf2ra"
"Saa3",1.55861542386801e-89,1.45167050913735,0.282,0.114,8.84498666890857e-85,"0","Saa3"
"Ikzf1",1.2284836637936e-88,1.06105513530194,0.15,0.036,6.97152194366232e-84,"0","Ikzf1"
"Il1b",3.50073970208066e-88,0.661007918546286,0.407,0.208,1.98663477353376e-83,"0","Il1b"
"Pik3cd",5.31985749544055e-86,1.08465065974906,0.146,0.035,3.01896593008756e-81,"0","Pik3cd"
"Fermt3",1.18203605076106e-85,0.928089472192257,0.119,0.023,6.70793638446395e-81,"0","Fermt3"
"Itgb2",2.14912818348905e-85,1.11154425609734,0.162,0.044,1.2196087528482e-80,"0","Itgb2"
"Traf3",5.48081533122576e-84,1.25315568149641,0.215,0.077,3.1103078923173e-79,"0","Traf3"
"Dennd1a",4.48892451142745e-83,1.45453515944067,0.452,0.322,2.54741977098996e-78,"0","Dennd1a"
"Lgmn",9.28517217671125e-83,1.60935544899406,0.251,0.107,5.26924235856187e-78,"0","Lgmn"
"Dennd4a",2.69316327006422e-82,1.08215824941626,0.394,0.223,1.52834322412875e-77,"0","Dennd4a"
"Tbc1d9",1.02167431244213e-81,1.13580107574936,0.164,0.047,5.79789955567785e-77,"0","Tbc1d9"
"Cd300a",7.19623146013849e-80,1.09545504001015,0.13,0.029,4.08378939131399e-75,"0","Cd300a"
"Jarid2",1.89465023510319e-78,1.63863477040148,0.393,0.261,1.07519506191871e-73,"0","Jarid2"
"Slc7a8",2.3980767862828e-78,1.09996894891409,0.114,0.023,1.36088459544763e-73,"0","Slc7a8"
"Itpkb",9.99661768665492e-78,1.10191396355175,0.2,0.069,5.6729805709998e-73,"0","Itpkb"
"Pip4k2a",2.58258644222766e-77,1.17143593460894,0.193,0.066,1.46559198009977e-72,"0","Pip4k2a"
"Gpr132",4.24163546060986e-77,1.01647218033342,0.126,0.028,2.40708570754149e-72,"0","Gpr132"
"Irak2",6.05013300830594e-77,1.11411938867804,0.409,0.247,3.43338998088354e-72,"0","Irak2"
"Fyb",8.60034727712725e-77,1.46747915834489,0.438,0.318,4.88061107629695e-72,"0","Fyb"
"Cmip",2.28874468574326e-76,1.04886050486521,0.629,0.594,1.29883972171244e-71,"0","Cmip"
"Cd274",7.31023215738554e-76,0.885171916519177,0.288,0.131,4.14848364699472e-71,"0","Cd274"
"Sash1",2.11761682774656e-75,1.17652650184872,0.245,0.103,1.2017263735779e-70,"0","Sash1"
"Fli1",8.0057069383148e-75,1.03881227070676,0.195,0.067,4.54315863042427e-70,"0","Fli1"
"Clec4e",1.86759924599963e-71,0.908457325359876,0.232,0.091,1.05984389611233e-66,"0","Clec4e"
"Abtb2",1.98888025201141e-71,0.978079949295195,0.28,0.127,1.12866965421395e-66,"0","Abtb2"
"Vav1",2.31471456321539e-71,0.999768793986652,0.145,0.04,1.3135773674791e-66,"0","Vav1"
"Mertk",4.81379136831561e-71,1.07763955450082,0.135,0.036,2.73177846360542e-66,"0","Mertk"
"Cyrib",6.1040051120573e-71,1.43504531993754,0.494,0.409,3.4639618610414e-66,"0","Cyrib"
"Ftl1",2.47749145238811e-70,1.50733899619589,0.481,0.377,1.40595162431573e-65,"0","Ftl1"
"Runx3",7.7571303032278e-70,0.959801307239139,0.101,0.02,4.40209387577874e-65,"0","Runx3"
"Nlrp1b",2.81469774113942e-69,0.941811075546656,0.131,0.035,1.59731282111921e-64,"0","Nlrp1b"
"Slc11a1",3.02596207450326e-69,0.879794528225504,0.122,0.029,1.71720321765986e-64,"0","Slc11a1"
"Ccdc88b",7.99568936217608e-69,0.905151660272358,0.135,0.036,4.5374737561413e-64,"0","Ccdc88b"
"Cytip",2.43521752561071e-68,1.01684726597956,0.131,0.035,1.38196159360882e-63,"0","Cytip"
"Plbd1",2.99975336566365e-68,1.00122886404695,0.149,0.044,1.70233003748047e-63,"0","Plbd1"
"Pde7b",5.97610043412714e-68,1.15251293257415,0.225,0.094,3.39137723536281e-63,"0","Pde7b"
"Pde4b",7.74849343836251e-68,0.913413718729528,0.297,0.145,4.39719254133634e-63,"0","Pde4b"
"F13a1",2.84614613652951e-67,1.29891818932832,0.148,0.045,1.61515947101913e-62,"0","F13a1"
"Ankrd44",3.03413027131396e-67,1.1206106374681,0.263,0.122,1.72183858766796e-62,"0","Ankrd44"
"Cd84",3.78383322099987e-66,0.827408485850105,0.147,0.043,2.14728751458522e-61,"0","Cd84"
"Ifi30",1.35130426444089e-65,1.07448374073598,0.127,0.035,7.66851657027561e-61,"0","Ifi30"
"Scpep1",1.75441441623456e-65,0.877019367406735,0.102,0.022,9.9561263706895e-61,"0","Scpep1"
"Slfn2",2.20765159256206e-65,1.08434302788604,0.25,0.115,1.25282020226304e-60,"0","Slfn2"
